Username,Address,Rating,Comment
Alejandra S,Japanese Bridge,1,Not really big + you pay to pass a bridge that is 10m long. You can see the interior by standing just outside. No written explanation for this historical place.
Linda v,Japanese Bridge,1,You can enter this bridge from one side and pay a small fee or cross the foot bridge 20meters away and enter from the other side for free. Odd but nice looking bridge.
Tayla D,Japanese Bridge,1,"If you haven't already read other reviews with this complaint then from one side of the bridge you have to pay for a ticket. Don't go at night as it is outrageously packed with Chinese and you won't get a quality picture. The guard seemed to stop every European walking through, though the Asians tourists just walking in freely. Our accommodation was on the other side of the bridge and I explained we simply needed to walk through but we were told to go around then loop back in the other entrance (roughly a 10 minute walk). I would just make sure you're entering from the pay free side of the small bridge."
Marco N,Japanese Bridge,1,"If you enter to cross the bridge without paying noncence money then walk over it from the north entrance. They charge Money Form the south, ans the best pictures to take are from the outside."
Laurynaslee,Japanese Bridge,1,"Ten meter long bridge where you have to pay for it. Seems like they only asking tickets from tourists, locals are walking pass through without any ticket. So Vietnam!!"
rizzo179,Japanese Bridge,1,"Great icon BUT and its a big BUT There is a charge to visit the Bridge but if you are, like us there for a long stay, then being hassled each time we were going to and from our friend's Optical shop was to say the least very annoying. Several times we had to go around or through a restuarant on the river or down a side lane. Tickets should be a LOT better managed and some kind of system /badge/ card for long term visitors."
Kris D,Japanese Bridge,1,"Get a photo from the outside & move on The bridge has history, I get that. But charging people to walk the very short distance inside?! Come on! You’d be better off getting a picture from the outside & google searching its history!"
Louisa S,Japanese Bridge,1,Really don’t bother visiting. Don’t bother visiting this place. I didn’t find anything special other than market of different stuff
Daniel B,Japanese Bridge,1,Chances are you will pass this while in old town. If they want to charge you for a ticket just skip it or walk down the alley on either side and cross from the other direction. Only interesting if you are eeally into old wooden bridges and slightly interesting history.
Mum B,Japanese Bridge,1,Nice but that's all. Not worth the visit. Whole town visit for a day is enough. Over the day the shops but with high prices and in the evening the night market with food and souvenirs.
Ashleigh F,Japanese Bridge,1,Didn't understand the fascination with the bridge personally and officials sometimes refuse to let you pass through without paying even though you have passed through several times before for free. Extremely frustrating when you are trying to escape the crowds by the waterfront and want to go back to your hotel but instead have to walk around.
JLLFreitas,Japanese Bridge,1,If you are walking through the city at some time you will pass by this bridge which I do not understand why they charge to visit. The river we pass through is super polluted and smells bad. Only worth the visit if you are not doing anything and with some leftover ticket
Fábio F,Japanese Bridge,1,"I was very nervous when I tried to get in the bridge structure. The guard just stoped me and asked me for the tickets saying that I have to paid for it. However, a bunch of asians were just passing by him and he was not charging them the tickets. When I asked him why, he just answered saying they were Vietnamese! How do you know was my question to him and I just received an impolite head gesture like ""it doesn't matter! It is ok to me to pay for tickets to visit the places in te old city but I cannot stand with this irresponsible answer and attitude to make all other non-Asian foreigners to pay for the city maintenance! A bunch of Chinese everywhere enjoying their holidays for new year and just non-asians have to pay? Definitely not! I did not enter there at all! Just enjoyed the structure outside but could not stay that much because all the city wastewater comes to this river below the bridge which brings a very very bad smell! I loved Hoi An, for sure, but not this attitude to stop me while a bunch of other Asian tourist that were not having their nationality checked out!"
Jessica J,Japanese Bridge,1,"Overrated, unfriendly ticket controllers Stayed around Old Town for 4 nights. Bought a ticket to view the historic sites. BUT couldn’t believe how rude the ticket takers at the bridge were! One lady even yelled at me “no ticket, no see!” I had already seen the bridge. I was just trying to walk through to get to my hotel! The tickets are supposed to be a donation. But they were very pushy... watched them bully many people about buying a ticket just to walk through."
Erika,Japanese Bridge,1,Stupid guard won't let you pass We tried to go across and the guard wanted to take a ticket just for going across Wich is not ok because the bridge is free. We had to go around and entered the other way of the street and exit across the bridge.
Jeff8901,Japanese Bridge,1,Ok to walk through for free. Do not pay money for this. Just go around. They wanted app $5usd to walk though.
Лена,Japanese Bridge,1,"Too crowded place, nothing to experience. Lady made you to buy a ticket even to cross. Useless activity."
Karl H,Japanese Bridge,1,"Hordes of tourist wait to cross and endlessly looking for their perfect selfie - you really get over the everyone expecting you to wait for them to finish taking their perfect photos... Really not sure what the fuss is about. A small room does have some information explaining about the Chinese and Japanese traders. But other than that, pretty picture but not that you’d visit he town for."
gracefs,Japanese Bridge,1,"You could give it a miss We walked over the bridge just to get to the other side of town. I had no idea it was a tourist attraction until the woman in front of asked got stopped by what looked like security and told she had to pay. The bridge is pretty, but I wouldn't pay to take a photo on it. Not with the large crowds that push through. We didn't pay, we just kept walking, as it was late in the evening I think we got away with it, not sure about day access."
Keith H,Japanese Bridge,1,"I didn't pay to walk a 10 meter bridge The history of the bridge is more interesting than the bridge itself. It costs about $5 USD for an entry ticket and there are a number of people checking tickets, though some people I spoke to said they walked it for free from the other side. Trust me its short, run down and passes over very polluted water. Your trip to Hoi An won't be less enjoyable for missing this bridge. You can stand outside the bridge and take a photo, it's almost as if you were on it."
Victoria C,Japanese Bridge,1,"It's worth walking over it, but there's not much info written in English about it and it's usually full of hundreds of tourists off the coaches"
Shyr Keene A,Japanese Bridge,1,"We looked for the bridge early morning to take pictures before the sunrise but my heart sank when I saw the bridge I have been looking for 2 days. The river surrounding the bridge was full of garbage. You will not notice it at night when you visit the place but in the morning, it was so visible. I hope the government would do something about the river surrounding ancient town and its nearby ancient structures."
lamtyjon,Japanese Bridge,1,"Nothing much to see here, and not worth the ""entrance fee"" if you happen to be asked to pay for! Too overcrowded too for any decent photo if you ever want one..."
tony r,Japanese Bridge,1,"Having been to this city 7 times in 5 years for a total of 26 weeks, guess you can tell we love the place. To my dismay as we tried to walk across the bridge on the way to a friends gallery we were aggressively approached by a tourist guard for our ticket. She would not let us pass. So we gave up and decided to walk around. The angry lady just radioed ahead and had two male guards approach us to pay for a ticket and would not let us pass. Meaning we could not get out. As a mid 60’s lady I could not be bothered with their behaviour and I gave up and just Paid for a ticket from yet another hostile collector. If this is the new Hoi an they will fast loose their shine and the tourist dollar. I have never been treated this poorly before. As you would imagine my tourist dollar over 26 weeks would have supported this lovely town quite well. If not for our friends would visit elsewhere."
Rik C,Japanese Bridge,1,The story about the bridge is more interesting than the bridge itself. At least thats my opinion. Also we got no ticket and could just walk over it and stuff. But didn't like it much so we proceeded.
karlaoh1,Japanese Bridge,1,Very busy with rubbish in the river the bridge crosses. An entry fee stopped me from crossing it as I could cross over for free 20m down from it.
clemtilley,Japanese Bridge,1,The only useful thing about this bridge is that every map you get will tell you how far away you are from the Japanese bridge.
Dreh S,Japanese Bridge,1,A bridge is a bridge is a bridge. And in this case nothing special. Don't look for it. You will pass it anyway when you are here.
Craig N,Japanese Bridge,1,"Overrated and over dirty water. However, if one is into history, it may be worth your time. Also, much smaller than you think."
Basia,Japanese Bridge,1,"Completely didn't meet the expectations This was SUCH A DISSAPOINTMENT. After seeing a couple of pictures online we were expecting a well-maintained, beautiful and charming bridge... How surprised were we... :( First of all, it was barely possible to go through. Too many people, everyone doing in their own direction. Second of all, noone obviously really takes care of it because it is in a really poor condition. And third of all, it is just... ugly."
Jbids,Japanese Bridge,1,"Waste of time, nothing to see except a rotting bridge. Had to buy tickets to cross the bridge which spans 10m"
Henry C,Japanese Bridge,1,This is the most famous site in Hoi An but it is quite disappointing to be honest. The fact they make you pay to walk across the bridge (less than 5 metres long) left me feeling ripped off.
Davey B,Japanese Bridge,1,"It's a bridge, it's covered it's packed with people. You pay admission for some reason. Better to take pictures of the exterior."
Raymond C,Japanese Bridge,1,"What's all the fuss about. Apparently you need a ticket to get in and cover the 5 meter span, all l,could from the outside was a souvenir shop. Save your money, take a few snaps from the outside and move on."
GaulthierGot,Japanese Bridge,1,"The company which run the monuments is just taking advantage of the tourists. Indeed the brigde is amazing and it's nice to go through. But what is completly forgotten is that it's normally free to go through and tourist normally should just pay to visit the small temple inside.... For the Vietnamese people the terrible people who ""take care"" of this place will never ask for any fees and let them go through freely while they just try to get money from any foreigners coming there!!!"
Wish G,Japanese Bridge,1,It cost us $14 dollars to cross the bridge. We thought there would be some sort of attraction on or after the bridge but there was nothing. It was a waste of money.
SW0590,Japanese Bridge,1,"Nice to look at but really overprotective pitt bull sytle ladies checking tickets...weirdly enough only checking entrance at one end so you can just walk in from the other side. Stupidly busy, couldn't see anything. If they are going to have a ticket system they should only let a certain amount on at once. Typical vietnamese (un)organisation!"
Karen Q,Japanese Bridge,1,We walked from our hotel to here only to find out that you had to pay to get in and of course we didn't take enough money with us - so my recommendation is don't forget to take money
GoPlaces708610,Japanese Bridge,1,"It is an old bridge used to connect two sides of the city. You have to pay to can get inside and sometimes they ask you money just to cross it. Inside there are 5-6 photos of the bridge and the city some years ago. It is always full of tourist and sometimes it's claustrophobic be in. The stories on the bridge talk about the animals statue used like guardians and the different sides of the city, the Japanese's one, Chinese and Vietnamese."
Eamon A,Japanese Bridge,1,Hoi An is a beautiful town and at night is filled with lanterns making the streets of the old town romantic to walk down. When you google about hoi an before coming you will see pictures of the famous Japanese covered bridge. The bridge is probably the most ugly thing in the old town; a tiny bridge packed with tourists that doesn't even look that nice! Stay away and explore the rest of the town!
jackb17500,Japanese Bridge,1,I had to pay to go across it which is an outrage. The bridge isn't even anything special it is just the story behind it.
Steve B,Japanese Bridge,1,Most overrated thing I saw in Vietnam. Don't get upset if you don't get to see it as you will save yourself 120000 dong per person.
Niall R,Japanese Bridge,1,"Having read that the average time a person spends at the bridge is 1.5 hours I was intrigued as to what could make it so interesting. Got there to just your average run of the mill bridge and have seen better bridges in Wigan near the stadium. Loved Hoi An, Hated this bridge"
wazurp,Japanese Bridge,1,Don't bother with this. It will waste 30 seconds of you life that you will never get back & cost you $10 for the privilege. You wouldn't see much anyway as it is constantly swamped by Japanese paparazzi.
Vikki C,Japanese Bridge,1,Could hardly get a look at it as too many Japanese Tourists taking photos. Also you have to pay to cross over the bridge. Walk 30m down the road and cross for free...
londongaby,Japanese Bridge,1,Too many people and too much harassment from vendors. I suggest you book an hotel nearby the rice fields as they have free transport to town all the time and come to visit the town early in the morning as it gets extremely crowded and the vendors do not leave you alone.
Cindy K,Japanese Bridge,1,Not that exciting a bridge and they make you buy a ticket just to walk across it! Seriously! They charge you (take one of your five tickets) every time you walk across. Total rip-off.
gracecatherineh,Japanese Bridge,1,"In order to cross the Japanese bridge, you have to buy a ticket which equals around $10 AUD. a total rip off as there is constantly about 50 people on the five metre bridge. Unfortunately our hotel was on the other side of the bridge so the toll was unavoidable. If you dont have to go near it, dont."
DoctorFab,Japanese Bridge,1,"Nothing really worth paying a ticket! I mean it's an ok bridge, nothing wowing me.. very short and crammed with tourists"
arachi d,Japanese Bridge,1,Absolutely nothing to see here. It's a normal bridge in the middle of a city which is flooded by photo-hungry tourists. Skip it.
Michael S,Japanese Bridge,1,"Nice to look at but the people try to charge you to walk threw, even if it's just to take pics inside the bridge"
banhmihunter,Japanese Bridge,1,When we went to Hoi An many people told us to visit the Japanese Covered Bridge. We went to see it at night and it was nothing special.
Paul C,Japanese Bridge,1,"Charge, Charge, Charge! You set foot in and you're at once addressed with ""ticket?!"" If you have not purchased one, you're not allowed entry to this nor any other specially designated buildings, which is fine. It just feels a bit grubby, that's all, especially when it's raining balls."
Zoe Y,Japanese Bridge,1,Overated. Don't need to buy ticket or go over it - it's a scam and highly unlikely it goes back into the old town. We went round the whole Thing via a bridge that was 10 meters away from this one. Only good if you specificly want to go over the actual bridge for 120VMD per person
Jeff Slo,Japanese Bridge,1,"just boring. what is the big deal. Walk over it, learn the history and move on. If you fail to see it, don't worry a minute about it. it looks just like the pics"
ElioAnne,Japanese Bridge,1,"No where any where in all the brochures does it state that you have to pay 120000 dong to get into the old town, and then you have to show your tickets on one side of the bridge only. Only random people are selected to show tickets."
Alyena12,Japanese Bridge,1,The bridge was overcrowded with tourists (bus loads). The fact that you have to pay an entrance fee and then can hardly move or see anything makes no sense. The river under the bridge is extremely polluted and smells awful.
cpo_one,Japanese Bridge,1,"They charge money $120,000 dong to cross the tiny bridge into old town, but you can just go a block up and enter on a side street for free."
elenastafford,Japanese Bridge,1,"Don't waste your money Buying the multi ticket is not worth it in hoi an - you are paying to walk across this bridge! The bridge is tiny, not impressive and surrounded by rubbish!! If you really want you can see it from the bridge parallel for free anyway Hoi an is great for shopping and wandering but not for sight seeing"
Lukas L,Japanese Bridge,1,Need to pay to get on the bridge......full of people.......plenty of rubbish on the riverside.......terrible green light spotting on the bridge during the evening
Jas A,Japanese Bridge,1,"Absolutely packed with people. Just another bridge I'd say. I thought it would be more interesting but nope, not much to see at all."
Lolo_373,Japanese Bridge,1,Ok. Thought there was a lot of hype for this But of waste of time as not much to see and unimpressive. Although pretty much free given you get tickets for the town and this includes the Japanese bridge.
Jamie J,Japanese Bridge,1,Tiny bridge that they try and Charge you £4 to walk over See title. Enough said. Stupid 'attraction'. Ps. Lane of tacky tourist shops on other side...totally different to rest of old town vibe. Avoid like the plague.
Paul B,Japanese Bridge,1,I really wanted to see the bridge but the smell and the terrible state of the water underneath that I can only describe as being like tar was so disappointing.
afairlie,Japanese Bridge,1,"Don't understand why this is so highly rated. The temple on the bridge needs a ticket to visit, and it is literally a room with a incense pedestal and some old photos. You can still see the bridge from the outside, but it looks in bad need of repair. Could be so much nicer"
Heidi S,Japanese Bridge,1,A bridge if ur into bridges All I can say is it's a boring bridge that's falling apart yes it is ancient but that's probably the best thing about it . Not really worth seeing a photograph speaks a thousand words and that's enough for me to see but that's just my opinion !
jefblack,Japanese Bridge,1,Not free as advertised. Best or avoid this area until after 9pm or walk around the bridge and go against the flow for free- tickets only required going one way.
PMalar,Japanese Bridge,1,"I was surprised that I was on the bridge: small and unassuming. Requires a ticket to cross the bridge. The monkeys on the one end and dogs on the other hand welcomed visitors, bridging the Japanese and Chinese sides. There is a donation box inside the temple."
Harryelephante,Japanese Bridge,1,Not sure why this is an attraction?????? They yell about paying to cross it but not al the time. It's dirty and so is the water. Not sure what the point of it is
Anne A,Japanese Bridge,1,Its a bridge get over it (and you have to pay for that) move on Not very interesting at all. At night it lights up. But so does all of Hoi An
Tyler S,Japanese Bridge,1,The bridge was nice to see but again if you looked at it for too long people would start asking for payment like everywhere in Vietnam. It also costs to walk across the bridge. If you can handle the smell there is a walking bridge down by the river that you can make it to the other part of town.
Jared H,Japanese Bridge,1,"It's an old bridge. They make you buy a ticket to cross it. There's a new bridge 20 feet away that you can cross hassle free. If you're a aficionado of old bridges then I guess this would be a treat for you. If you're a normal person, this offers about 30 seconds of interesting viewing. It'll get you across the river, I suppose, so A+ for that."
pam c,Japanese Bridge,1,Once through this bridge we lost our bearing of hoian and ended up walking far further than we intended. Once iver the bridge we found ourselves in small streets full oh market type goods - no restaurants or bars just street food.
Lachlan E,Japanese Bridge,1,$ have to pay to cross You Have to pay to cross the bridge Or you can walk around. It was a nice sight but not worth paying money in order to cross in my opinion.
JamesAnge,Japanese Bridge,1,Another daily rip off Went here and straight away had someone pounce on me asking for ticket. I thought it's a bit rude to have to pay to cross a bridge to then go into another small section of the old town only to be ripped of even more with the inflated prices of the mass produced Chinese tat. Wouldn't recommend and seemingly they only started charging people in the last year :(
dannjemtravellers,Japanese Bridge,1,Overcrowded and Expensive This bridge has at least 40 people on it at anyone time and your charged $6 dollars for the 30 seconds it takes to wander over it!
Lesley A,Japanese Bridge,1,"You can cross without paying, but they try to get you to pay using one of the five tickets they expect you to buy. Don't bother, just walk across."
Ronald,Japanese Bridge,1,"Entrance fee for a lame bridge? Seriously? At daytime they ask for a fee to cross the bridge, which is quite ridiculous. There's not much to see. At night no one asked for a ticket. There is still not much to see then..."
andrew4055,Japanese Bridge,1,Cute bridge which takes about 2 minutes to view and not worth buying a ticket for. What peeved me was when an old couple wanted to cross to the other side and the attendant dragged them back this side to make them but another ticket..you have to buy a ticket to get into Hoi An anyway. Look..i am all for giving money to see any sites and hope that my money benefits these places but in Vietnam they don't mind ripping off foreigners because they think we are all rich. This behaviour is ripe in Hoi An. Prices should be the prices and not higher for white faced people.
riccus,Japanese Bridge,1,Stood and watched the lady in uniform only asking Caucasian people to pay/produce tickets. no big deal except it's the main access through the area. Not well thought out.
Bart V,Japanese Bridge,1,"The bridge is nice to see, but it's possible to enjoy it from the outside. Don't use one of your 'old town tickets' to see the inside, because it isn't worth the while."
Daniel B,Japanese Bridge,1,"Not really worth paying for. I don't know, but for me it's just a worn bridge with a ton of selfie-tourists jammed in this 10-meter bridge! (Wear eyeprotection for the selfiesticks waving around! ;) )"
DorKa,Japanese Bridge,1,I do not understand why I need to pay to cross a bridge of 8m! You can walk around it and its nothing special
Viva V,Japanese Bridge,1,"It is a bridge, neither more nor less. They charge and can not see anything special. Do not waste time there"
Prektsha,Japanese Bridge,1,We didn't find it very impressive to see. I guess the story behind it is good to know. Nothing exciting to see though. I gess if you're in the area then you should stop by.
Chillies and clouds,Japanese Bridge,1,They want to charge you 120 kdongs as it this one of few attractions over there just to walk on few squiky wooden planks? Theres plenty of bridges like this in Japan for free.
Brian M,Japanese Bridge,1,Visited the bridge and was the main effort was to sell me local produced table cloths . I came to see the bridge
Felicity L,Japanese Bridge,1,"A let down, the bridge has been poorly maintained and is over a river that is being used as a sewer line"
RazorBFC,Japanese Bridge,1,Takes one minute to see the bridge. Don't waste a ticket on the attached pagoda. One of the most overrated things I've seen
Jolanda T,Japanese Bridge,1,"Nothing special!!! Just nice! The bridge is very short and completely to restore. there is a temple on the bridge that is visitabile only if you by another ticket, different from the one you need to enter old Town"
Jessica P,Japanese Bridge,1,"Walking over bridge only is supposed to be free. Even after insisting, the employee demanded and even shove me. I didn't pay and just left. It's not even a great bridge compared to some more ancient and beautiful I've seen in China and Japan."
pinkpetter,Japanese Bridge,1,"Not worth time nor money It's just a bridge. If you pay for someone to explain the very few artifacts there for you it might be worth a quick visit I guess but... other than that, I think the houses are more worth it."
Omri K,Japanese Bridge,1,"This is not at all what i expected, there is pretty much nothing to see and they charge you money even just for crossing on your way to the restaurant."
tom s,Japanese Bridge,1,Getting only 5 tickets for the different booths in Hoi An ancient city - this bridge felt like a waste of a ticket.
Seabon,Japanese Bridge,1,"You pay money to walk 10m in darkened wooden space? Sketch of likely conversation between Seabon and Vietnamese man collecting tickets at bridge: Bridge man: You pay money to walk 10m in darkened wooden space? Good views of scummy water and other undecorated wooden footbridge just 20m away! Bridgebon: no, you're dumb! There's a perfectly good bridge you can cross for free 20m away, from which you can see the picturesque Japanese bridge."
Patrick,Japanese Bridge,1,You do not need a ticket! Ignore the gentleman on the bridge telling you need a ticket you only need a ticket to visit the under whemling temple on the bridge. There are far better things to spend your time doing in Hoi An
franck69890,Japanese Bridge,1,"polluted canal around the bridge Such a beautiful bridge with smelly surroundings. The canal is polluted with mud, it smells bad. It seems that the local people committee does not care about environnement concern. Thoudands of tourists pour into the old quater, it would be normal to have a clean canal and river."
sanmyn@gmail.com,Japanese Bridge,1,Several different locals stand out front and attempt to collect money to pass through Covered Bridge. Nothing much to see but more venders.
ALHongKong,Japanese Bridge,1,"To even list the Japanese bridge as a sight is really funny if it wasn't so sad. If this bridge is a sight, EVERY bridge, building, etc in Europe that is over 100 years old would have to be mentioned in here as a sight. And in contrast to the Japanese Bridge mentioned monuments in Europa are well restored and kept in shape."
Terry T,Japanese Bridge,1,"unforgetable experience, old town beautiful!! It was unique walking around the township. Sure, a lot of things are repedative but you will stumble on many, many other things."
nan5553,Japanese Bridge,1,"Didn't look as if anyone had done anything with this in years, pictures of the bridge looked nice but it hasn't been painted or cleaned in years. The house with it consisted of 2 small rooms with virtually nothing in it, took us less than 2 minutes to look round"
RonjaRose,Japanese Bridge,1,This is so over hyped and nothing special. We walk straight by it the first time without seeing it..
Philip G,Japanese Bridge,1,"Went to see Japanese bridge, I wonder what all the fuss is about. Go a see it but, you have not missed a lot if you do not, and do not pay to walk across it not worth it."
Michpadi,Japanese Bridge,1,Be careful of the miss understood If someone ask you the ticket at the entrance of the bridge. Just tell theme ( no I just cross the bridge ). They will let you go. But if you want to visit the little (room) in the bridge then you have to give the ticket.
Ivan M,Japanese Bridge,1,"Thanks God they don't have Golden Gate Bridge!!! Ok, it's nice old bridge in downtown....but??? To cross the bridge you have to pay aprox. 2$ fee...and the bridge is 10m long. So please, how much they'll charge for crossing Golden Gate if this bridge is in Hoi An???..500$!!! Ok, GGB is't old as this bridge...but bridges in Prague ,Venice, Paris?!?!......older, more beautiful, and for free!!!...so please don't rob people, that's not fair...all of us working hard for money in life."
aytea-bbt,Japanese Bridge,1,Not much to see. Might be more interesting if I knew the story behind it Ok if you are passing it anyway but I wouldn't go and look for it
Catarr210,Japanese Bridge,1,"Hoi An really depends on the tourist industry, yet has failed to restore or keep this bridge in good repair. It's right in the middle of town and can only be used on foot. It could look wonderful with just some paint. I was very disappointed when I came across it."
Cliff B,Japanese Bridge,1,"Nice bridge, nothing special though, we were to we had to pay to cross the bridge (like some trolls out of a fairytale), when we said no they stood in front of us and blocked our path. It turns out the charge is for a gallery / museum leading off the centre of the bridge, not worth the money, better off following the path down stream and you get better views and better to photograph."
lior m,Japanese Bridge,1,"Not something really special. You're ticket includes 5 places to see in the old city of Hoi an, so don't waste one of the tickets on this. There is only a little room with no interesting explanations, you can take pictures from the outside and it's more than enough."
Lorri W,Japanese Bridge,1,"Like most of the exhibits in old town Hoi An, this one is overpriced and provides nothing. Stand to the edge of the bridge and look at it for free"
